Unnamed: 0,d
156200,-0.1528330851298267
156400,-0.2869597480625167
156600,-0.3736697966586662
156800,-0.5387394135979102
157000,-0.7475160106477454
157200,-0.8655925371755796
157400,-0.9114336074669234
157600,-0.8896554073615692
157800,-0.9995912292636422
158000,-0.909499621811702
158200,-0.8756078023826197
158400,-0.8729253927380778
158600,-0.7992073761324971
158800,-0.6825654834092828
159000,-0.485851399252158
159200,-0.2762101780280148
159400,-0.0677403827676454
159600,0.0663860867542655
159800,0.4327634094061173
160000,0.7846571244603401
160200,0.9360005249558636
160400,1.0603051942338768
160600,1.1653349192716198
160800,1.1109963622144556
161000,1.050453330516968
161200,0.9671974231875146
161400,0.850865595288075
161600,0.7841699544591568
161800,0.3156334415845163
162000,0.3583887703025938
162200,0.2388790093596956
162400,0.1772575808183044
162600,-0.0206459222198694
162800,0.0350643780779634
163000,-0.1774355333212563
163200,-0.3020089045906106
163400,-0.463922185797869
163600,-0.6026577682133214
163800,-0.7569205937696067
164000,-0.8530125118148517
164200,-1.1169410559576027
164400,-1.0686443983466838
164600,-1.0218012505970993
164800,-0.9882414596702024
165000,-0.8917562256776572
165200,-0.6588795849521967
165400,-0.5515315917810606
165600,-0.345731985595187
165800,-0.1032936303013965
166000,0.1874096510790435
166200,0.424352173459032
166400,0.5639912752307802
166600,0.8282381886549831
166800,1.0122961374012047
167000,1.2318051555014695
167200,1.2420567056794
167400,1.2644758474641866
167600,1.2212928454332532
167800,1.1362441795145213
168000,1.026300805597109
168200,0.9466710306002856
168400,0.7784077690656209
168600,0.5785645403064097
168800,0.3119346885923451
169000,0.2299192906392062
169200,0.1540938594714146
169400,-0.0373775794935295
169600,-0.1096648586500392
169800,-0.1726955173015235
170000,-0.3924853453876532
170200,-0.5292618670308903
170400,-0.6637616102783652
170600,-0.7624008924454263
170800,-0.852588320568837
171000,-0.9470067500590236
171200,-1.138687852782224
171400,-1.1187705167710396
171600,-1.0596156675027273
171800,-1.059878299568023
172000,-0.9611572039848928
172200,-0.7867632584907036
172400,-0.7268219920192283
172600,-0.610888928134455
172800,-0.4584761907866805
173000,-0.271185290292802
173200,0.0394154414425502
173400,0.2860782187268627
173600,0.4083114087834071
173800,0.7444222607786267
174000,0.9722710374891116
174200,1.283888670379928
174400,1.3669559973176464
174600,1.5207251083877988
174800,1.5305762399394298
175000,1.4561522229399313
175200,1.302963012781659
175400,1.1535153929436142
175600,0.9323074639005858
175800,0.7481156625732992
176000,0.3156751988934034
176200,0.3127933657912456
176400,0.2369160787730058
176600,0.0598757191297365
176800,-0.0976565175067016
177000,-0.1322740120515932
177200,-0.3597852607284654
177400,-0.4894805090739069
177600,-0.6218676840042111
177800,-0.7039037379617014
178000,-0.787799447668627
178200,-0.8970066906777399
178400,-1.0572901660344078
178600,-1.0651293419320418
178800,-1.0195854467827214
179000,-1.070498364422466
179200,-0.9429173943377062
179400,-0.7835726030674107
179600,-0.7194222478938422
179800,-0.5816546315113794
180000,-0.4113370259011478
180200,-0.2173531612130143
180400,0.0646045409758326
180600,0.4033960403798412
180800,0.3005708826247077
181000,0.8026718486065013
181200,1.0496365097864402
181400,1.236240203173146
181600,1.292511741398423
181800,1.488280014603482
182000,1.4439708139372622
182200,1.3848585424083153
182400,1.2473984740812445
182600,1.12588085615267
182800,1.0244794491709088
183000,0.7054069946027164
183200,0.7783844739357222
183400,0.768758760736945
183600,0.798021962390777
183800,0.6530584435366531
184000,0.7110917596007973
184200,0.5593245288513758
184400,0.3634448482598778
184600,0.1171892102876157
184800,-0.1662652061494628
185000,-0.3698736347698505
185200,-0.524949732302821
185400,-0.8593110580365154
185600,-0.8815114973673838
185800,-0.9719946633862018
186000,-0.8712174102377389
186200,-0.9134173949939004
186400,-0.5588297489312034
186600,-0.2508696778380959
186800,0.0703206686727536
187000,0.4633376747972043
187200,0.8103291976057037
187400,1.083538651905602
187600,1.3240390662501211
187800,1.5052589889481076
188000,1.8180330762847088
188200,2.077888461445704
188400,2.2596233238024963
188600,2.3584743326652204
188800,2.630581702075585
189000,2.804286360827423
189200,2.9395478886136464
189400,2.997728330599654
189600,2.873518966186233
189800,2.616294091306759
190000,2.4257195676811865
190200,2.2247615108429755
190400,2.122290778047675
190600,0.9258110621523715
